Bosnia and Herzegovina,BA-01,Unsko-sanska zupanija,Canton,BA
Bosnia and Herzegovina,BA-02,Posavska zupanija,Canton,BA
Bosnia and Herzegovina,BA-03,Tuzlanska zupanija,Canton,BA
Bosnia and Herzegovina,BA-04,Zenicko-dobojska zupanija,Canton,BA
Bosnia and Herzegovina,BA-05,Bosansko-podrinjska zupanija,Canton,BA
Bosnia and Herzegovina,BA-06,Srednjobosanska zupanija,Canton,BA
Bosnia and Herzegovina,BA-07,Hercegovacko-neretvanska zupanija,Canton,BA
Bosnia and Herzegovina,BA-08,Zapadnohercegovacka zupanija,Canton,BA
Bosnia and Herzegovina,BA-09,Kanton Sarajevo,Canton,BA
Bosnia and Herzegovina,BA-10,Kanton br. 10,Canton,BA
Bosnia and Herzegovina,BA-BIH,Federacija Bosne i Hercegovine,Entity,BA
Bosnia and Herzegovina,BA-BRC,Brcko distrikt,District with special status,BA
Bosnia and Herzegovina,BA-SRP,Republika Srpska,Entity,BA
