Trinidad and Tobago,TT-ARI,Arima,Borough,TT
Trinidad and Tobago,TT-CHA,Chaguanas,Borough,TT
Trinidad and Tobago,TT-CTT,Couva-Tabaquite-Talparo,Region,TT
Trinidad and Tobago,TT-DMN,Diego Martin,Region,TT
Trinidad and Tobago,TT-ETO,Eastern Tobago,Region,TT
Trinidad and Tobago,TT-MRC,Mayaro-Rio Claro,Region,TT
Trinidad and Tobago,TT-PED,Penal-Debe,Region,TT
Trinidad and Tobago,TT-POS,Port of Spain,City,TT
Trinidad and Tobago,TT-PRT,Princes Town,Region,TT
Trinidad and Tobago,TT-PTF,Point Fortin,Borough,TT
Trinidad and Tobago,TT-RCM,Rio Claro-Mayaro,Region,TT
Trinidad and Tobago,TT-SFO,San Fernando,City,TT
Trinidad and Tobago,TT-SGE,Sangre Grande,Region,TT
Trinidad and Tobago,TT-SIP,Siparia,Region,TT
Trinidad and Tobago,TT-SJL,San Juan-Laventille,Region,TT
Trinidad and Tobago,TT-TOB,Tobago,Ward,TT
Trinidad and Tobago,TT-TUP,Tunapuna-Piarco,Region,TT
Trinidad and Tobago,TT-WTO,Western Tobago,Region,TT
